,leagueId,number_of_teams,startId,endId,seasonId,status_code
1183,48682129,10,48357343,48857343,2019,200
1184,48682129,10,48357343,48857343,2020,200
1185,48683972,8,48357343,48857343,2019,200
1186,48683972,8,48357343,48857343,2020,200
1187,48686634,12,48357343,48857343,2019,200
1188,48686634,12,48357343,48857343,2020,200
1189,48689434,12,48357343,48857343,2019,200
1190,48689434,12,48357343,48857343,2020,200
1191,48693918,8,48357343,48857343,2019,200
1192,48693918,8,48357343,48857343,2020,200
1193,48695848,10,48357343,48857343,2019,200
1194,48695848,10,48357343,48857343,2020,200
1195,48697231,9,48357343,48857343,2019,200
1196,48697231,9,48357343,48857343,2020,200
1197,48700285,9,48357343,48857343,2019,200
1198,48700285,9,48357343,48857343,2020,200
1199,48702761,12,48357343,48857343,2019,200
1200,48702761,12,48357343,48857343,2020,200
1201,48704135,10,48357343,48857343,2019,200
1202,48704135,10,48357343,48857343,2020,200
1203,48704836,12,48357343,48857343,2019,200
1204,48704836,12,48357343,48857343,2020,200
1205,48708084,12,48357343,48857343,2019,200
1206,48708084,12,48357343,48857343,2020,200
1207,48712603,12,48357343,48857343,2019,200
1208,48712603,12,48357343,48857343,2020,200
1209,48717338,14,48357343,48857343,2019,200
1210,48717338,14,48357343,48857343,2020,200
1211,48719719,10,48357343,48857343,2019,200
1212,48719719,10,48357343,48857343,2020,200
1213,48720644,7,48357343,48857343,2019,200
1214,48720644,7,48357343,48857343,2020,200
1215,48722841,10,48357343,48857343,2019,200
1216,48722841,10,48357343,48857343,2020,200
1217,48723130,10,48357343,48857343,2019,200
1218,48723130,10,48357343,48857343,2020,200
1219,48725125,10,48357343,48857343,2019,200
1220,48725125,10,48357343,48857343,2020,200
1221,48726185,12,48357343,48857343,2019,200
1222,48726185,12,48357343,48857343,2020,200
1223,48726901,14,48357343,48857343,2019,200
1224,48726901,14,48357343,48857343,2020,200
1225,48727684,10,48357343,48857343,2019,200
1226,48727684,10,48357343,48857343,2020,200
1227,48729460,8,48357343,48857343,2019,200
1228,48729460,8,48357343,48857343,2020,200
1229,48729563,6,48357343,48857343,2019,200
1230,48729563,6,48357343,48857343,2020,200
1231,48729619,6,48357343,48857343,2019,200
1232,48729619,6,48357343,48857343,2020,200
1233,48735092,12,48357343,48857343,2019,200
1234,48735092,12,48357343,48857343,2020,200
1235,48745079,12,48357343,48857343,2019,200
1236,48745079,12,48357343,48857343,2020,200
1237,48746084,12,48357343,48857343,2019,200
1238,48746084,12,48357343,48857343,2020,200
1239,48749906,12,48357343,48857343,2019,200
1240,48749906,12,48357343,48857343,2020,200
1241,48749937,11,48357343,48857343,2019,200
1242,48749937,11,48357343,48857343,2020,200
1243,48751126,12,48357343,48857343,2019,200
1244,48751126,12,48357343,48857343,2020,200
1245,48752597,8,48357343,48857343,2019,200
1246,48752597,8,48357343,48857343,2020,200
1247,48754168,10,48357343,48857343,2019,200
1248,48754168,10,48357343,48857343,2020,200
1249,48760564,8,48357343,48857343,2019,200
1250,48760564,8,48357343,48857343,2020,200
1251,48776145,10,48357343,48857343,2019,200
1252,48776145,10,48357343,48857343,2020,200
1253,48777149,10,48357343,48857343,2019,200
1254,48777149,10,48357343,48857343,2020,200
1255,48777830,10,48357343,48857343,2019,200
1256,48777830,10,48357343,48857343,2020,200
1257,48779585,10,48357343,48857343,2019,200
1258,48779585,10,48357343,48857343,2020,200
1259,48780342,10,48357343,48857343,2019,200
1260,48780342,10,48357343,48857343,2020,200
1261,48781768,9,48357343,48857343,2019,200
1262,48781768,9,48357343,48857343,2020,200
